green,blue,red,nir08,swir16,swir22,Latitude,Longitude,Sample Date
11426.0,9557.0,12802.0,11190.0,7687.5,7645.0,-28.760833,17.730278,02-01-2011
9550.0,8691.0,9241.5,17658.5,13746.5,10574.0,-26.861111,28.884722,03-01-2011
10720.0,9502.5,12540.0,15210.0,17974.0,14201.0,-26.45,28.085833,03-01-2011
10943.0,9693.5,11237.5,14887.0,13522.0,11403.0,-27.671111,27.236944,03-01-2011
9502.5,8718.0,9290.0,16828.5,12665.5,9643.0,-27.356667,27.286389,03-01-2011
10433.5,9344.0,10728.5,12433.5,9579.5,8531.5,-27.01011111,26.69808333,04-01-2011
5189.5,4984.0,5122.0,7814.0,6664.0,5222.0,-25.127778,27.628889,04-01-2011
10466.5,10039.0,9985.0,14137.5,10315.5,8536.0,-25.20639,27.558,04-01-2011
10647.0,9921.0,10524.0,15543.0,11919.5,9642.5,-24.69514,27.40906,04-01-2011
10207.0,9414.0,10262.5,13683.0,14011.5,11850.5,-26.98472222,26.63227778,04-01-2011
9840.0,9085.5,9679.0,14391.0,13799.5,11265.0,-28.141944,26.417778,04-01-2011
10247.0,9253.5,10126.0,15515.5,12823.0,10403.5,-27.398611,26.614722,04-01-2011
,,,,,,-33.501667,21.624167,04-01-2011
13104.0,10579.0,14613.0,17653.0,19330.0,16984.0,-32.502778,19.535833,04-01-2011
9926.0,9139.0,11096.0,13959.0,15156.5,12552.5,-25.45963889,28.26430556,04-01-2011
11044.5,9490.5,11540.5,17937.5,18143.5,14152.5,-27.495556,26.074722,04-01-2011
9597.0,8535.0,8963.5,19310.5,12954.5,9447.5,-26.648056,27.089444,05-01-2011
11040.0,9671.5,11496.0,10218.0,7946.5,7735.0,-26.970278,27.211111,05-01-2011
11597.0,10130.0,11926.0,11481.0,8583.0,8196.5,-27.38972222,26.46388889,05-01-2011
9908.0,8882.5,9503.5,17418.5,13987.0,10115.0,-27.044444,27.005,05-01-2011
4491.0,4189.0,4479.0,5266.5,3672.5,3764.5,-30.830556,26.921389,06-01-2011
9691.0,8743.0,9947.0,13724.0,13005.5,10754.5,-27.00222,28.76528,06-01-2011
9969.5,8893.0,10129.0,11490.5,10372.5,9135.0,-27.02314,28.59389,06-01-2011
10548.0,9235.5,11938.0,13400.0,7764.0,7659.0,-30.679722,26.7125,06-01-2011
10060.0,9063.0,10522.5,14158.0,12037.5,10023.5,-30.160091,27.40124,06-01-2011
10334.0,9227.5,10903.5,15218.5,14735.0,12208.5,-32.595833,19.009444,06-01-2011
11771.5,10629.0,11898.0,18631.5,16495.0,12815.0,-25.99136,27.84208,10-01-2011
9167.0,8719.0,8961.0,9089.5,7963.0,7740.0,-26.73806,27.59194,10-01-2011
10720.0,9502.5,12540.0,15210.0,17974.0,14201.0,-26.45,28.085833,10-01-2011
10724.5,9396.0,11634.0,14558.0,11450.0,10000.5,-30.86013889,29.07125,10-01-2011
9502.5,8718.0,9290.0,16828.5,12665.5,9643.0,-27.356667,27.286389,10-01-2011
10433.5,9344.0,10728.5,12433.5,9579.5,8531.5,-27.01011111,26.69808333,11-01-2011
17765.0,16362.5,17879.5,21914.0,22170.5,17965.5,-25.73411,27.21422,11-01-2011
10207.0,9414.0,10262.5,13683.0,14011.5,11850.5,-26.98472222,26.63227778,11-01-2011
10247.0,9253.5,10126.0,15515.5,12823.0,10403.5,-27.398611,26.614722,11-01-2011
10943.0,9693.5,11237.5,14887.0,13522.0,11403.0,-27.671111,27.236944,11-01-2011
,,,,,,-29.160278,26.573333,11-01-2011
9019.0,8456.0,9192.0,12323.0,13161.0,10800.5,-34.250556,20.9925,11-01-2011
9926.0,9139.0,11096.0,13959.0,15156.5,12552.5,-25.45963889,28.26430556,11-01-2011
9753.0,8693.0,9553.5,16870.5,13408.0,10257.0,-25.81048333,27.90955222,12-01-2011
9060.0,8456.5,9407.5,12333.0,9264.5,8181.0,-27.273889,28.49,12-01-2011
10794.0,9231.0,11296.0,16767.0,18026.5,15340.5,-27.4275,28.525833,12-01-2011
9248.0,8398.5,9399.5,14007.5,12553.5,9979.0,-28.883333,27.89,12-01-2011
9691.0,8743.0,9947.0,13724.0,13005.5,10754.5,-27.00222,28.76528,13-01-2011
9969.5,8893.0,10129.0,11490.5,10372.5,9135.0,-27.02314,28.59389,13-01-2011
10835.0,9795.0,10773.5,15132.5,13586.0,11169.0,-30.534167,24.961944,13-01-2011
