Latitude,Longitude,Sample Date,pet,ppt,q,tmax,tmin,srad,soil,ws
-28.760833,17.730278,02-01-2011,236.3,8.3,0.4,35.76,21.029999,317.50146,0.0,2.9399998
-26.861111,28.884722,03-01-2011,134.3,175.0,8.8,25.41,14.099999,240.59824,35.7,1.93
-26.45,28.085833,03-01-2011,141.5,156.10000000000002,7.800000000000001,26.07,15.25,245.30144,9.900001,2.1499999
-27.671111,27.236944,03-01-2011,152.40001,194.70000000000002,16.1,27.599998,15.96,250.50262,28.2,2.22
-27.356667,27.286389,03-01-2011,151.90001,180.4,9.0,27.21,16.15,253.00046,21.300001,2.27
-27.01011111,26.69808333,04-01-2011,155.7,168.5,8.4,27.849998,16.75,256.20178,5.3,2.3
-25.127778,27.628889,04-01-2011,158.2,107.4,5.4,30.33,18.77,250.803,1.1,2.21
-25.20639,27.558,04-01-2011,156.5,110.10000000000001,5.5,30.029999,18.6,250.39987,1.1,2.18
-24.69514,27.40906,04-01-2011,157.8,108.2,5.4,30.519999,19.84,246.70055,1.4,2.1399999
-26.98472222,26.63227778,04-01-2011,155.2,170.3,8.5,28.01,17.0,254.50232,8.3,2.23
-28.141944,26.417778,04-01-2011,157.0,187.0,9.3,28.17,16.539999,252.29695,22.300001,2.21
-27.398611,26.614722,04-01-2011,160.7,173.20000000000002,8.700000000000001,28.359999,17.039999,259.10275,4.3,2.35
-33.501667,21.624167,04-01-2011,185.90001,15.700000000000001,0.8,29.51,13.78,304.9965,0.1,3.34
-32.502778,19.535833,04-01-2011,229.6,4.0,0.2,34.01,16.359999,333.50024,0.6,3.34
-25.45963889,28.26430556,04-01-2011,149.5,122.4,6.1000000000000005,28.779999,17.5,246.59778,1.4,2.11
-27.495556,26.074722,04-01-2011,163.8,162.8,8.1,28.59,16.6,262.2962,0.4,2.48
-26.648056,27.089444,05-01-2011,148.2,156.60000000000002,7.800000000000001,26.83,15.94,253.19807,1.4,2.22
-26.970278,27.211111,05-01-2011,149.3,169.5,8.5,27.0,16.19,251.79897,13.3,2.1699998
-27.38972222,26.46388889,05-01-2011,162.2,170.20000000000002,8.5,28.48,17.14,260.20148,0.4,2.3999999
-27.044444,27.005,05-01-2011,151.7,172.0,8.6,27.4,16.51,252.59732,13.400001,2.21
-30.830556,26.921389,06-01-2011,152.0,138.0,6.9,28.33,14.08,235.9978,0.5,2.3799999
-27.00222,28.76528,06-01-2011,134.7,179.4,9.0,25.63,14.28,239.09637,39.2,1.92
-27.02314,28.59389,06-01-2011,136.90001,179.20000000000002,9.0,25.96,14.61,239.49951,36.8,1.9599999
-30.679722,26.7125,06-01-2011,155.6,135.3,6.800000000000001,29.42,14.74,236.40094,0.4,2.27
-30.160091,27.40124,06-01-2011,141.1,207.0,36.9,27.47,14.9,226.79692,31.300001,1.9699999
-32.595833,19.009444,06-01-2011,231.1,4.5,0.2,33.85,16.58,331.99838,2.7,3.81
-25.99136,27.84208,10-01-2011,144.7,160.3,8.0,26.599998,16.4,246.29741,11.0,2.28
-26.73806,27.59194,10-01-2011,144.5,166.60000000000002,8.3,26.349998,15.719999,247.99689,16.0,2.12
-26.45,28.085833,10-01-2011,141.5,156.10000000000002,7.800000000000001,26.07,15.25,245.30144,9.900001,2.1499999
-30.86013889,29.07125,10-01-2011,125.1,211.9,86.10000000000001,25.9,16.4,209.20143,51.7,2.4099998
-27.356667,27.286389,10-01-2011,151.90001,180.4,9.0,27.21,16.15,253.00046,21.300001,2.27
-27.01011111,26.69808333,11-01-2011,155.7,168.5,8.4,27.849998,16.75,256.20178,5.3,2.3
-25.73411,27.21422,11-01-2011,146.6,150.70000000000002,7.5,27.58,16.199999,245.49905,2.4,2.24
-26.98472222,26.63227778,11-01-2011,155.2,170.3,8.5,28.01,17.0,254.50232,8.3,2.23
-27.398611,26.614722,11-01-2011,160.7,173.20000000000002,8.700000000000001,28.359999,17.039999,259.10275,4.3,2.35
-27.671111,27.236944,11-01-2011,152.40001,194.70000000000002,16.1,27.599998,15.96,250.50262,28.2,2.22
-29.160278,26.573333,11-01-2011,155.90001,195.5,18.3,28.75,15.639999,243.79958,23.0,2.21
-34.250556,20.9925,11-01-2011,178.5,13.700000000000001,0.7000000000000001,29.32,17.08,299.89807,4.2000003,4.0499997
-25.45963889,28.26430556,11-01-2011,149.5,122.4,6.1000000000000005,28.779999,17.5,246.59778,1.4,2.11
-25.81048333,27.90955222,12-01-2011,147.5,149.4,7.5,27.599998,17.34,246.59778,1.3000001,2.19
-27.273889,28.49,12-01-2011,136.3,192.70000000000002,18.0,25.869999,14.65,237.1993,41.4,1.9599999
-27.4275,28.525833,12-01-2011,134.90001,202.5,34.2,25.769999,14.4,235.00183,36.100002,1.9799999
-28.883333,27.89,12-01-2011,132.6,268.2,108.7,25.83,14.5199995,223.69835,29.6,1.9399999
-27.00222,28.76528,13-01-2011,134.7,179.4,9.0,25.63,14.28,239.09637,39.2,1.92
-27.02314,28.59389,13-01-2011,136.90001,179.20000000000002,9.0,25.96,14.61,239.49951,36.8,1.9599999
-30.534167,24.961944,13-01-2011,178.90001,94.7,4.7,30.599998,15.96,257.4033,0.0,2.7
-28.460833,21.248889,13-01-2011,217.3,74.9,3.7,35.149998,19.85,296.3015,0.0,2.6699998
-29.658056,25.973333,14-01-2011,157.7,146.9,7.300000000000001,28.89,15.41,246.20256,0.2,2.1599998
-28.760833,17.730278,16-01-2011,236.3,8.3,0.4,35.76,21.029999,317.50146,0.0,2.9399998
-25.513889,31.224444,17-01-2011,135.2,44.5,2.2,29.67,18.09,267.9005,17.800001,1.5899999
-26.861111,28.884722,17-01-2011,124.9,55.1,2.8000000000000003,26.96,13.259999,257.99612,18.1,1.55
-31.554722,29.245556,17-01-2011,114.200005,44.6,2.2,26.92,18.529999,228.40155,18.6,3.3
-28.058889,30.373611,17-01-2011,125.6,70.3,3.5,27.689999,14.719999,260.99985,19.4,1.5699999
-25.127778,27.628889,18-01-2011,146.0,47.7,2.4000000000000004,31.55,18.05,266.5014,1.1,1.9
-25.20639,27.558,18-01-2011,145.0,49.800000000000004,2.5,31.279999,17.81,266.3038,1.1,1.92
-24.69514,27.40906,18-01-2011,150.40001,56.0,2.8000000000000003,31.929998,18.949999,271.79745,1.3000001,1.92
-25.681111,31.783333,18-01-2011,133.6,38.2,1.9000000000000001,31.13,18.98,261.90097,6.4,1.5
-27.802778,28.768333,18-01-2011,119.4,71.7,3.6,26.539999,13.09,247.19853,11.5,1.43
-27.398611,26.614722,18-01-2011,136.2,87.9,4.4,29.51,16.449999,256.20178,3.7,1.77
-31.104278,29.399722,18-01-2011,118.6,49.900000000000006,2.5,27.76,18.26,231.09698,21.1,2.44
-31.396,29.2651,18-01-2011,120.700005,44.900000000000006,2.2,28.119999,19.66,230.79662,18.300001,2.78
-33.38056,19.30167,18-01-2011,164.7,3.9000000000000004,0.2,30.179998,16.08,280.0972,4.6,3.3799999
-33.31388889,19.07472222,18-01-2011,176.2,3.1,0.2,32.559998,18.65,278.39774,6.2000003,3.55
-27.495556,26.074722,18-01-2011,137.40001,100.60000000000001,5.0,29.539999,16.42,259.498,0.4,1.76
-24.39619444,27.08983333,19-01-2011,152.8,58.2,2.9000000000000004,32.35,19.06,274.39804,1.4,1.91
-26.970278,27.211111,19-01-2011,131.90001,70.9,3.5,28.439999,15.48,253.90158,9.2,1.8399999
-26.880278,26.965,19-01-2011,133.0,76.0,3.8000000000000003,28.689999,15.719999,255.60104,6.9,1.86
-27.273889,28.49,19-01-2011,125.200005,63.2,3.2,27.59,13.83,252.39972,15.2,1.52
-27.3,28.586944,19-01-2011,124.200005,62.300000000000004,3.1,27.359999,13.58,252.80284,14.7,1.48
-27.044444,27.005,19-01-2011,132.90001,76.4,3.8000000000000003,28.71,15.7,254.69994,9.0,1.8299999
-30.568333,29.422778,19-01-2011,115.3,61.7,3.1,26.06,13.53,238.89877,26.7,2.02
-30.570833,29.150556,19-01-2011,114.9,67.8,3.4000000000000004,25.599998,13.21,239.60226,18.4,1.9499999
-34.031944,22.053333,19-01-2011,123.0,11.9,0.6000000000000001,26.949999,17.949999,251.40375,1.2,2.82
-33.13083,18.86278,19-01-2011,175.1,2.2,0.1,33.05,19.24,277.59937,3.1000001,3.25
-33.7075,18.97444444,19-01-2011,177.1,4.2,0.2,32.17,18.84,275.40192,8.5,4.19
-25.57877778,29.12747222,19-01-2011,137.6,35.1,1.8,29.82,15.62,264.5964,2.6000001,1.7199999
-26.006389,29.253889,20-01-2011,126.3,40.5,2.0,27.16,13.46,258.59686,11.3,1.64
-27.02314,28.59389,20-01-2011,125.3,59.0,2.9000000000000004,27.55,13.7699995,253.69606,17.4,1.52
-30.679722,26.7125,20-01-2011,132.2,98.7,4.9,29.48,14.809999,256.3994,0.4,1.43
-28.460833,21.248889,20-01-2011,170.8,138.5,6.9,34.46,19.75,271.9002,0.0,2.1599998
-30.77586667,29.03221667,20-01-2011,119.4,63.300000000000004,3.2,27.529999,16.17,236.40094,18.0,1.9
-24.925278,29.324444,21-01-2011,145.8,30.900000000000002,1.5,31.679998,17.55,268.50125,0.7,1.89
-28.460833,21.248889,21-01-2011,170.8,138.5,6.9,34.46,19.75,271.9002,0.0,2.1599998
-24.679167,30.8025,24-01-2011,127.200005,63.400000000000006,3.2,25.92,15.08,271.70258,73.5,1.9799999
-25.99136,27.84208,24-01-2011,130.90001,50.7,2.5,28.17,15.36,257.4033,8.7,1.75
-25.49037,30.6986,24-01-2011,131.7,42.800000000000004,2.1,28.08,16.1,268.99924,20.0,1.8
-26.970278,27.211111,24-01-2011,131.90001,70.9,3.5,28.439999,15.48,253.90158,9.2,1.8399999
-27.671111,27.236944,24-01-2011,132.3,77.80000000000001,3.9000000000000004,28.66,15.33,253.30083,10.400001,1.79
-27.356667,27.286389,24-01-2011,132.1,71.9,3.6,28.5,15.41,254.89755,10.900001,1.79
-27.01011111,26.69808333,25-01-2011,134.7,84.7,4.2,28.93,16.039999,255.79866,4.4,1.87
-26.98472222,26.63227778,25-01-2011,134.8,86.0,4.3,29.109999,16.31,254.80269,6.2000003,1.8399999
-27.398611,26.614722,25-01-2011,136.2,87.9,4.4,29.51,16.449999,256.20178,3.7,1.77
-33.818056,19.694722,25-01-2011,164.3,4.9,0.2,31.41,17.97,271.49707,3.5,3.5
-25.45963889,28.26430556,25-01-2011,138.6,37.7,1.9000000000000001,30.4,16.52,260.99985,1.3000001,1.78
-33.897778,20.012778,25-01-2011,151.1,5.7,0.30000000000000004,31.609999,18.24,265.49753,1.4,2.49
-25.81048333,27.90955222,26-01-2011,135.2,45.400000000000006,2.3000000000000003,29.369999,16.39,258.20163,1.2,1.8
-34.065833,20.404167,26-01-2011,148.0,6.6000000000000005,0.30000000000000004,31.42,19.4,259.90112,1.8000001,2.46
-24.058889,31.237222,26-01-2011,143.90001,28.700000000000003,1.4000000000000001,32.13,19.689999,271.40222,1.6,1.6899999
-26.648056,27.089444,26-01-2011,131.7,72.60000000000001,3.6,28.3,15.17,256.59702,1.4,1.8499999
-26.880278,26.965,26-01-2011,133.0,76.0,3.8000000000000003,28.689999,15.719999,255.60104,6.9,1.86
-27.273889,28.49,26-01-2011,125.200005,63.2,3.2,27.59,13.83,252.39972,15.2,1.52
-27.044444,27.005,26-01-2011,132.90001,76.4,3.8000000000000003,28.71,15.7,254.69994,9.0,1.8299999
-34.092222,21.295278,26-01-2011,132.40001,10.200000000000001,0.5,29.4,17.96,254.89755,2.7,2.1399999
-27.02314,28.59389,27-01-2011,125.3,59.0,2.9000000000000004,27.55,13.7699995,253.69606,17.4,1.52
-26.73806,27.59194,27-01-2011,129.40001,60.400000000000006,3.0,27.769999,14.809999,254.59717,10.7,1.79
-28.760833,17.730278,30-01-2011,174.2,32.7,1.6,36.1,22.689999,270.2007,0.0,2.02
-26.861111,28.884722,31-01-2011,124.9,55.1,2.8000000000000003,26.96,13.259999,257.99612,18.1,1.55
-26.73806,27.59194,31-01-2011,129.40001,60.400000000000006,3.0,27.769999,14.809999,254.59717,10.7,1.79
-25.127778,27.628889,01-02-2011,146.0,47.7,2.4000000000000004,31.55,18.05,266.5014,1.1,1.9
-24.69514,27.40906,01-02-2011,150.40001,56.0,2.8000000000000003,31.929998,18.949999,271.79745,1.3000001,1.92
-27.363611,31.783333,01-02-2011,130.6,35.800000000000004,1.8,31.56,19.59,261.70334,5.5,1.03
-27.802778,28.768333,01-02-2011,119.4,71.7,3.6,26.539999,13.09,247.19853,11.5,1.43
-29.160278,26.573333,01-02-2011,134.90001,105.4,5.300000000000001,29.24,15.11,259.1976,8.5,1.56
-34.329722,18.990278,01-02-2011,130.5,5.800000000000001,0.30000000000000004,25.91,17.07,268.0981,12.1,4.8199997
